year,semester,grade,subject_name,question_number,answer
2019,1,1,글쓰기,1,2
2019,1,1,글쓰기,2,4
2019,1,1,글쓰기,3,2
2019,1,1,글쓰기,4,1
2019,1,1,글쓰기,5,3
2019,1,1,글쓰기,6,4
2019,1,1,글쓰기,7,"2,4"
2019,1,1,글쓰기,8,3
2019,1,1,글쓰기,9,1
2019,1,1,글쓰기,10,2
2019,1,1,글쓰기,11,2
2019,1,1,글쓰기,12,4
2019,1,1,글쓰기,13,3
2019,1,1,글쓰기,14,1
2019,1,1,글쓰기,15,3
2019,1,1,글쓰기,16,1
2019,1,1,글쓰기,17,2
2019,1,1,글쓰기,18,4
2019,1,1,글쓰기,19,3
2019,1,1,글쓰기,20,3
2019,1,1,글쓰기,21,1
2019,1,1,글쓰기,22,3
2019,1,1,글쓰기,23,4
2019,1,1,글쓰기,24,2
2019,1,1,글쓰기,25,2
2019,1,1,글쓰기,26,1
2019,1,1,글쓰기,27,4
2019,1,1,글쓰기,28,1
2019,1,1,글쓰기,29,2
2019,1,1,글쓰기,30,4
2019,1,1,글쓰기,31,2
2019,1,1,글쓰기,32,4
2019,1,1,글쓰기,33,"1,4"
2019,1,1,글쓰기,34,2
2019,1,1,글쓰기,35,4
2019,1,1,생활한문,1,4
2019,1,1,생활한문,2,3
2019,1,1,생활한문,3,1
2019,1,1,생활한문,4,2
2019,1,1,생활한문,5,3
2019,1,1,생활한문,6,2
2019,1,1,생활한문,7,4
2019,1,1,생활한문,8,4
2019,1,1,생활한문,9,2
2019,1,1,생활한문,10,1
2019,1,1,생활한문,11,2
2019,1,1,생활한문,12,3
2019,1,1,생활한문,13,4
2019,1,1,생활한문,14,2
2019,1,1,생활한문,15,1
2019,1,1,생활한문,16,"3,4"
2019,1,1,생활한문,17,4
2019,1,1,생활한문,18,2
2019,1,1,생활한문,19,1
2019,1,1,생활한문,20,1
2019,1,1,생활한문,21,2
2019,1,1,생활한문,22,1
2019,1,1,생활한문,23,1
2019,1,1,생활한문,24,3
2019,1,1,생활한문,25,4
2019,1,1,생활한문,26,3
2019,1,1,생활한문,27,2
2019,1,1,생활한문,28,3
2019,1,1,생활한문,29,4
2019,1,1,생활한문,30,1
2019,1,1,생활한문,31,2
2019,1,1,생활한문,32,4
2019,1,1,생활한문,33,1
2019,1,1,생활한문,34,4
2019,1,1,생활한문,35,3
2019,1,1,한국현대문학의이해와감상,1,2
2019,1,1,한국현대문학의이해와감상,2,4
2019,1,1,한국현대문학의이해와감상,3,4
2019,1,1,한국현대문학의이해와감상,4,3
2019,1,1,한국현대문학의이해와감상,5,1
2019,1,1,한국현대문학의이해와감상,6,2
2019,1,1,한국현대문학의이해와감상,7,2
2019,1,1,한국현대문학의이해와감상,8,1
2019,1,1,한국현대문학의이해와감상,9,3
2019,1,1,한국현대문학의이해와감상,10,1
2019,1,1,한국현대문학의이해와감상,11,2
2019,1,1,한국현대문학의이해와감상,12,2
2019,1,1,한국현대문학의이해와감상,13,3
2019,1,1,한국현대문학의이해와감상,14,2
2019,1,1,한국현대문학의이해와감상,15,4
2019,1,1,한국현대문학의이해와감상,16,3
2019,1,1,한국현대문학의이해와감상,17,3
2019,1,1,한국현대문학의이해와감상,18,1
2019,1,1,한국현대문학의이해와감상,19,3
2019,1,1,한국현대문학의이해와감상,20,3
2019,1,1,한국현대문학의이해와감상,21,2
2019,1,1,한국현대문학의이해와감상,22,1
2019,1,1,한국현대문학의이해와감상,23,3
2019,1,1,한국현대문학의이해와감상,24,4
2019,1,1,한국현대문학의이해와감상,25,1
2019,1,1,한국현대문학의이해와감상,26,3
2019,1,1,한국현대문학의이해와감상,27,4
2019,1,1,한국현대문학의이해와감상,28,3
2019,1,1,한국현대문학의이해와감상,29,2
2019,1,1,한국현대문학의이해와감상,30,3
2019,1,1,한국현대문학의이해와감상,31,2
2019,1,1,한국현대문학의이해와감상,32,1
2019,1,1,한국현대문학의이해와감상,33,1
2019,1,1,한국현대문학의이해와감상,34,4
2019,1,1,한국현대문학의이해와감상,35,4
2019,1,1,글과생각,1,3
2019,1,1,글과생각,2,4
2019,1,1,글과생각,3,3
2019,1,1,글과생각,4,1
2019,1,1,글과생각,5,3
2019,1,1,글과생각,6,1
2019,1,1,글과생각,7,4
2019,1,1,글과생각,8,2
2019,1,1,글과생각,9,4
2019,1,1,글과생각,10,1
2019,1,1,글과생각,11,4
2019,1,1,글과생각,12,2
2019,1,1,글과생각,13,3
2019,1,1,글과생각,14,4
2019,1,1,글과생각,15,3
2019,1,1,글과생각,16,3
2019,1,1,글과생각,17,4
2019,1,1,글과생각,18,2
2019,1,1,글과생각,19,4
2019,1,1,글과생각,20,1
2019,1,1,글과생각,21,4
2019,1,1,글과생각,22,4
2019,1,1,글과생각,23,2
2019,1,1,글과생각,24,2
2019,1,1,글과생각,25,1
2019,1,1,글과생각,26,3
2019,1,1,글과생각,27,4
2019,1,1,글과생각,28,3
2019,1,1,글과생각,29,1
2019,1,1,글과생각,30,4
2019,1,1,글과생각,31,2
2019,1,1,글과생각,32,4
2019,1,1,글과생각,33,3
2019,1,1,글과생각,34,4
2019,1,1,글과생각,35,2
2019,1,1,영문법의기초,1,2
2019,1,1,영문법의기초,2,3
2019,1,1,영문법의기초,3,3
2019,1,1,영문법의기초,4,4
2019,1,1,영문법의기초,5,3
2019,1,1,영문법의기초,6,1
2019,1,1,영문법의기초,7,2
2019,1,1,영문법의기초,8,4
2019,1,1,영문법의기초,9,2
2019,1,1,영문법의기초,10,4
2019,1,1,영문법의기초,11,4
2019,1,1,영문법의기초,12,3
2019,1,1,영문법의기초,13,1
2019,1,1,영문법의기초,14,4
2019,1,1,영문법의기초,15,1
2019,1,1,영문법의기초,16,3
2019,1,1,영문법의기초,17,1
2019,1,1,영문법의기초,18,4
2019,1,1,영문법의기초,19,3
2019,1,1,영문법의기초,20,2
